Jugador,Puntos,Rebotes,Asistencias,Robos
Michael Jordan,32292,6672,5633,2514
Magic Johnson,17707,6559,10141,1724
Larry Bird,21791,8974,5695,1556
Charles Barkley,23757,12546,4215,1645
Scottie Pippen,18940,7494,6135,2307
David Robinson,20790,10751,2441,1388
Patrick Ewing,24815,11585,2894,1136
Karl Malone,36928,14968,5248,2085
John Stockton,19711,4059,15806,3265
Clyde Drexler,22195,6899,6125,2207
Chris Mullin,17911,4267,3450,1532
Christian Laettner,4956,2606,1092,253
